Item,"Sku Name","Sku Size",Style,"Order Number",Price,"Price Currency","Final Payout Amount","Final Payout Currency","Payout Method","Sale Date",Status
"Nike Adapt BB","Nike Adapt BB Black Pure Platinum (US Charger)",9.5,AO2582-001,6978911-6878670,400,USD,350.0000,USD,ACH,"2019-08-07 22:06:46","Sale Complete"
"Jordan 1 Retro High","Jordan 1 Retro High Neutral Grey Hyper Crimson",9.5,555088-018,6977584-6877343,203,USD,177.6250,USD,ACH,"2019-08-07 20:22:46","Sale Complete"
"Jordan 1 Retro High","Jordan 1 Retro High Neutral Grey Hyper Crimson",9.5,555088-018,6977575-6877334,203,USD,177.6250,USD,ACH,"2019-08-07 20:22:28","Sale Complete"
"Jordan 1 Retro High","Jordan 1 Retro High UNC Patent (W)",11W,CD0461-401,6972853-6872612,442,USD,386.7500,USD,ACH,"2019-08-07 15:06:54","Sale Complete"
"Jordan 1 Retro High","Jordan 1 Retro High Neutral Grey Hyper Crimson",9,555088-018,6972675-6872434,210,USD,183.7500,USD,ACH,"2019-08-07 14:52:01","Sale Complete"
"Jordan 1 Retro High","Jordan 1 Retro High Neutral Grey Hyper Crimson",9,555088-018,6972662-6872421,210,USD,183.7500,USD,ACH,"2019-08-07 14:51:19","Sale Complete"
