ID,NAME,MODEL,COLORWAY,STYLE,SIZE,PRICE,SELLER RETURN,DATE IN,DATE SOLD,LOCATION,CONDITION
2499044,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,13,$365.00,$301.12,07/14/2018,08/21/2018,NY,New
2499116,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/20/2018,NY,New
2499115,yeezy 500,yeezy 500,blush/blush/blush,db2908,9,$410.00,$338.25,07/14/2018,08/18/2018,NY,New
2499055,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,7,$325.00,$268.12,07/14/2018,08/18/2018,NY,New
2499048,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,6,$350.00,$288.75,07/14/2018,08/17/2018,NY,New
2499042,yeezy boost 350 v2,yeezy boost 350 v2,butter/butter/butter,f36980,7,$325.00,$268.12,07/14/2018,08/17/2018,NY,New
2499090,air vapormax fk moc 2/acronym,air vapormax fk moc 2/acronym,light bone/volt-light blue,aq0996 001,8.5,$345.00,$284.62,07/14/2018,08/17/2018,NY,New
2408618,air force 1 prm clot,air force 1 prm clot,white/white,ao9286 100,7,$415.00,$342.38,05/12/2018,08/11/2018,NY,New
2499112,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,9.5,$705.00,$581.62,07/14/2018,08/06/2018,NY,New
2499070,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,9,$410.00,$338.25,07/14/2018,08/06/2018,NY,New
2499122,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/05/2018,NY,New
2499121,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499119,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499011,yeezy 500,yeezy 500,blush/blush/blush,db2908,9.5,$405.00,$334.12,07/14/2018,08/04/2018,NY,New
2499118,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/04/2018,NY,New
2499014,yeezy 500,yeezy 500,blush/blush/blush,db2908,10,$355.00,$292.88,07/14/2018,08/03/2018,NY,New
2499068,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,8,$395.00,$325.88,07/14/2018,08/03/2018,NY,New
2499005,yeezy boost 700,yeezy boost 700,mgsogr/cwhite/cblack,b75571,6,$660.00,$544.50,07/14/2018,08/03/2018,NY,New
2499071,air jordan 1 retro high og nrg,air jordan 1 retro high og nrg,black/university red-white,861428 061,8.5,$440.00,$363.00,07/14/2018,08/01/2018,NY,New
2121309,yeezy boost 350 v2,yeezy boost 350 v2,sefrye/rawste/red,b37572,8,$535.00,$441.38,11/28/2017,07/23/2018,NY,New
2499175,pw hu holi nmd mc,pw hu holi nmd mc,purple/green/pink,ac7034,9.5,$390.00,$321.75,07/14/2018,07/22/2018,NY,New
2499035,air jordan 1 x off-white nrg,air jordan 1 x off-white nrg,white/dark powder blue-cone,aq0818 148,8,"$1,135.00",$936.38,07/14/2018,07/18/2018,NY,New
2499180,yeezy 500,yeezy 500,blush/blush/blush,db2908,14,$370.00,$305.25,07/14/2018,07/16/2018,NY,New
2096400,Ace 16+ Pure control ultrab,Ace 16+ Pure control ultrab,Clay/Sesame,CG3655,10,$200.00,$165.00,11/15/2017,07/14/2018,NY,New
